interval,day,week,classifier,score
23,Saturday,23,Adventure_Sport,0.896861
90,Friday,24,Adventure_Sport,0.881471
24,Saturday,24,Adventure_Sport,0.900865
78,Saturday,24,Adventure_Sport,0.878643
83,Friday,23,Adventure_Sport,0.742996
85,Friday,23,Adventure_Sport,0.77851
79,Friday,24,Adventure_Sport,0.893434
80,Friday,24,Adventure_Sport,0.89466
84,Friday,23,Adventure_Sport,0.738166
87,Sunday,24,Adventure_Sport,0.880701
88,Sunday,24,Adventure_Sport,0.886495
23,Saturday,23,Adventure_Sport,0.904755
74,Monday,25,Adventure_Sport,0.870636
78,Monday,25,Adventure_Sport,0.878614
28,Sunday,25,Adventure_Sport,0.850536
32,Tuesday,24,Adventure_Sport,0.892152
34,Sunday,24,Adventure_Sport,0.885104
31,Monday,24,Adventure_Sport,0.882879
25,Monday,24,Adventure_Sport,0.837645
87,Monday,24,Adventure_Sport,0.855081
29,Thursday,24,Adventure_Sport,0.852606
32,Thursday,24,Adventure_Sport,0.866987
37,Thursday,24,Adventure_Sport,0.887742
24,Friday,24,Adventure_Sport,0.844003
33,Friday,24,Adventure_Sport,0.858118
31,Wednesday,24,Adventure_Sport,0.863884
23,Saturday,24,Adventure_Sport,0.878279
75,Friday,24,Adventure_Sport,0.852493
79,Friday,24,Adventure_Sport,0.899555
78,Saturday,24,Adventure_Sport,0.906281
28,Wednesday,21,Adventure_Sport,0.850464
29,Wednesday,21,Adventure_Sport,0.822587
25,Wednesday,21,Adventure_Sport,0.699583
30,Wednesday,21,Adventure_Sport,0.828853
86,Wednesday,21,Adventure_Sport,0.750245
88,Thursday,21,Adventure_Sport,0.802273
31,Saturday,21,Adventure_Sport,0.889274
34,Sunday,22,Adventure_Sport,0.869054
25,Monday,22,Adventure_Sport,0.754555
76,Saturday,21,Adventure_Sport,0.790036
90,Tuesday,22,Adventure_Sport,0.838991
79,Wednesday,22,Adventure_Sport,0.84919
80,Thursday,23,Adventure_Sport,0.864741
79,Wednesday,22,Adventure_Sport,0.877881
79,Wednesday,22,Adventure_Sport,0.853456
79,Wednesday,22,Adventure_Sport,0.835267
80,Wednesday,22,Adventure_Sport,0.753996
80,Wednesday,22,Adventure_Sport,0.831862
28,Sunday,24,Adventure_Sport,0.869753
29,Sunday,24,Adventure_Sport,0.866725
30,Sunday,24,Adventure_Sport,0.895766
82,Thursday,22,Adventure_Sport,0.87883
34,Wednesday,23,Adventure_Sport,0.881929
24,Saturday,23,Adventure_Sport,0.836656
26,Monday,24,Adventure_Sport,0.871277
74,Thursday,23,Adventure_Sport,0.891074
83,Friday,23,Adventure_Sport,0.859853
86,Monday,22,Adventure_Sport,0.773326
31,Monday,24,Adventure_Sport,0.888222
34,Sunday,24,Adventure_Sport,0.838268
24,Tuesday,22,Adventure_Sport,0.882072
30,Monday,24,Adventure_Sport,0.861843
73,Sunday,24,Adventure_Sport,0.863225
86,Tuesday,22,Adventure_Sport,0.791231
31,Monday,24,Adventure_Sport,0.885465
36,Monday,24,Adventure_Sport,0.881643
79,Tuesday,24,Adventure_Sport,0.89648
89,Tuesday,22,Adventure_Sport,0.869413
29,Thursday,22,Adventure_Sport,0.851237
24,Tuesday,24,Adventure_Sport,0.851251
31,Thursday,23,Adventure_Sport,0.883595
75,Thursday,23,Adventure_Sport,0.870897
84,Friday,23,Adventure_Sport,0.724659
86,Friday,23,Adventure_Sport,0.800393
