classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adventure_Sport,0.859334,20160525071543-05-01,2016,05,25,07,15,43
Adventure_Sport,0.868651,20160529060713-623-01,2016,05,29,06,07,13
Adventure_Sport,0.870178,20160529060626-621-00,2016,05,29,06,06,26
Adventure_Sport,0.862431,20160529061230-624-00,2016,05,29,06,12,30
Adventure_Sport,0.892105,20160531211206-1009-00,2016,05,31,21,12,06
Adventure_Sport,0.899966,20160602223622-74-01,2016,06,02,22,36,22
Adventure_Sport,0.813392,20160610211136-232-00,2016,06,10,21,11,36
Adventure_Sport,0.865656,20160530220410-934-00,2016,05,30,22,04,10
Adventure_Sport,0.855796,20160602223806-76-00,2016,06,02,22,38,06
Adventure_Sport,0.84641,20160611060405-274-01,2016,06,11,06,04,05
Adventure_Sport,0.896139,20160618222047-1347-01,2016,06,18,22,20,47
Adventure_Sport,0.874362,20160611060440-276-00,2016,06,11,06,04,40
Adventure_Sport,0.892039,20160617075614-1116-00,2016,06,17,07,56,14
Adventure_Sport,0.897239,20160618060429-1249-00,2016,06,18,06,04,29
Adventure_Sport,0.875043,20160618061432-1251-00,2016,06,18,06,14,32
Adventure_Sport,0.905434,20160524225626-03-00,2016,05,24,22,56,26
Adventure_Sport,0.853707,20160526061436-108-01,2016,05,26,06,14,36
Adventure_Sport,0.889156,20160526060459-106-00,2016,05,26,06,04,59
Adventure_Sport,0.883306,20160526061737-109-00,2016,05,26,06,17,37
Adventure_Sport,0.873645,20160527090623-352-00,2016,05,27,09,06,23
Adventure_Sport,0.827136,20160528060342-487-01,2016,05,28,06,03,42
Adventure_Sport,0.857583,20160529060652-622-01,2016,05,29,06,06,52
Adventure_Sport,0.87119,20160531222730-1013-01,2016,05,31,22,27,30
Adventure_Sport,0.831226,20160531223023-1016-01,2016,05,31,22,30,23
Adventure_Sport,0.883393,20160613062017-507-00,2016,06,13,06,20,17
Adventure_Sport,0.828177,20160610210657-229-01,2016,06,10,21,06,57
Adventure_Sport,0.898401,20160613080130-546-01,2016,06,13,08,01,30
Adventure_Sport,0.850746,20160601193035-52-00,2016,06,01,19,30,35
Adventure_Sport,0.871966,20160612211424-502-00,2016,06,12,21,14,24
Adventure_Sport,0.905982,20160613075407-543-00,2016,06,13,07,54,07
Adventure_Sport,0.887427,20160531223059-1017-00,2016,05,31,22,30,59
Adventure_Sport,0.877239,20160613075624-544-01,2016,06,13,07,56,24
Adventure_Sport,0.877131,20160601192614-48-01,2016,06,01,19,26,14
Adventure_Sport,0.894712,20160602060104-01-02,2016,06,02,06,01,04
Adventure_Sport,0.903675,20160602060205-03-00,2016,06,02,06,02,05
Adventure_Sport,0.834849,20160619045923-1362-00,2016,06,19,04,59,23
Adventure_Sport,0.872415,20160613075636-545-01,2016,06,13,07,56,36
Adventure_Sport,0.879141,20160619194624-1513-01,2016,06,19,19,46,24
Adventure_Sport,0.893096,20160619060209-1363-01,2016,06,19,06,02,09
Adventure_Sport,0.844285,20160614060848-682-00,2016,06,14,06,08,48
Adventure_Sport,0.85131,20160619070547-1368-01,2016,06,19,07,05,47
Adventure_Sport,0.900951,20160617060145-1103-00,2016,06,17,06,01,45
Adventure_Sport,0.857687,20160617194738-1227-01,2016,06,17,19,47,38
Adventure_Sport,0.884616,20160619091604-1410-00,2016,06,19,09,16,04
