interval,day,week,classifier,score
83,Sunday,14,person,0.377541
76,Sunday,14,person,0.377541
58,Sunday,14,person,0.999447
82,Sunday,14,person,0.331812
72,Sunday,14,person,0.999089
64,Sunday,14,person,0.28905
72,Sunday,14,person,0.668188
76,Sunday,14,person,0.845535
59,Sunday,14,person,0.999325
74,Sunday,14,person,0.998341
76,Sunday,14,person,0.970688
77,Sunday,14,person,0.668188
59,Sunday,14,person,0.475021
80,Sunday,14,person,0.942676
73,Sunday,14,person,0.5
77,Sunday,14,person,0.549834
76,Sunday,14,person,0.731059
79,Sunday,14,person,0.354344
80,Sunday,14,person,0.574443
77,Sunday,14,person,0.802184
77,Sunday,14,person,0.354344
81,Sunday,14,person,0.425557
77,Sunday,14,person,0.354344
62,Sunday,14,person,0.5
81,Sunday,14,person,0.817574
72,Sunday,14,person,0.331812
80,Sunday,14,person,0.785835
85,Sunday,14,person,0.993307
88,Sunday,14,person,0.549834
80,Sunday,14,person,0.75026
29,Monday,14,person,0.668188
82,Sunday,14,person,0.985226
80,Sunday,14,person,0.731059
75,Sunday,14,person,0.997975
81,Sunday,14,person,0.768525
80,Sunday,14,person,0.549834
30,Monday,14,person,0.998771
76,Sunday,14,person,0.354344
81,Sunday,14,person,0.999089
32,Monday,14,person,0.549834
77,Sunday,14,person,0.549834
32,Monday,14,person,0.425557
82,Sunday,14,person,0.524979
79,Sunday,14,person,0.28905
29,Monday,14,person,0.450166
28,Monday,14,person,0.937027
29,Monday,14,person,0.5
80,Sunday,14,person,0.401312
30,Monday,14,person,0.997527
82,Sunday,14,person,0.995033
29,Monday,14,person,0.998993
81,Sunday,14,person,0.354344
38,Monday,14,person,0.450166
31,Monday,14,person,0.331812
83,Sunday,14,person,0.475021
82,Sunday,14,person,0.880797
29,Monday,14,person,0.785835
28,Monday,14,person,0.997527
30,Monday,14,person,0.425557
29,Monday,14,person,0.731059
31,Monday,14,person,0.28905
29,Monday,14,person,0.991837
29,Monday,14,person,0.645656
32,Monday,14,person,0.598688
33,Monday,14,person,0.475021
32,Monday,14,person,0.880797
29,Monday,14,person,0.845535
36,Monday,14,person,0.952574
43,Monday,14,person,0.598688
38,Monday,14,person,0.28905
43,Monday,14,person,0.622459
31,Monday,14,person,0.28905
38,Monday,14,person,0.425557
32,Monday,14,person,0.28905
38,Monday,14,person,0.475021
39,Monday,14,person,0.549834
61,Monday,14,person,0.425557
40,Monday,14,person,0.28905
33,Monday,14,person,0.377541
63,Monday,14,person,0.986613
63,Monday,14,person,0.28905
63,Monday,14,person,0.28905
43,Monday,14,person,0.377541
55,Monday,14,person,0.999254
65,Monday,14,person,0.998641
65,Monday,14,person,0.998993
43,Monday,14,person,0.354344
43,Monday,14,person,0.5
64,Monday,14,person,0.75026
65,Monday,14,person,0.28905
57,Monday,14,person,0.999089
42,Monday,14,person,0.549834
66,Monday,14,person,0.450166
73,Monday,14,person,0.900249
65,Monday,14,person,0.331812
57,Monday,14,person,0.5
43,Monday,14,person,0.310026
74,Monday,14,person,0.916827
65,Monday,14,person,0.425557
50,Monday,14,person,0.354344
43,Monday,14,person,0.401312
75,Monday,14,person,0.354344
56,Monday,14,person,0.28905
56,Monday,14,person,0.996316
74,Monday,14,person,0.970688
72,Monday,14,person,0.75026
64,Monday,14,person,0.28905
73,Monday,14,person,0.645656
65,Monday,14,person,0.98016
73,Monday,14,person,0.549834
74,Monday,14,person,0.916827
65,Monday,14,person,0.354344
74,Monday,14,person,0.942676
66,Monday,14,person,0.331812
72,Monday,14,person,0.28905
90,Monday,14,person,0.377541
66,Monday,14,person,0.995033
75,Monday,14,person,0.5
71,Monday,14,person,0.908877
49,Monday,14,person,0.947846
51,Monday,14,person,0.998167
71,Monday,14,person,0.377541
74,Monday,14,person,0.937027
71,Monday,14,person,0.425557
74,Monday,14,person,0.890903
27,Tuesday,14,person,0.990987
76,Monday,14,person,0.998341
