interval,day,week,classifier,score
62,Sunday,14,person,0.999325
72,Sunday,14,person,0.880797
81,Sunday,14,person,0.425557
80,Sunday,14,person,0.785835
63,Sunday,14,person,0.999176
58,Sunday,14,person,0.999447
63,Sunday,14,person,0.574443
59,Sunday,14,person,0.999325
64,Sunday,14,person,0.817574
82,Sunday,14,person,0.985226
73,Sunday,14,person,0.993307
76,Sunday,14,person,0.377541
77,Sunday,14,person,0.354344
88,Sunday,14,person,0.549834
59,Sunday,14,person,0.475021
82,Sunday,14,person,0.331812
62,Sunday,14,person,0.5
80,Sunday,14,person,0.731059
80,Sunday,14,person,0.549834
72,Sunday,14,person,0.996982
77,Sunday,14,person,0.268941
85,Sunday,14,person,0.993307
29,Monday,14,person,0.5
81,Sunday,14,person,0.999089
72,Sunday,14,person,0.331812
72,Sunday,14,person,0.999089
75,Sunday,14,person,0.997975
82,Sunday,14,person,0.524979
81,Sunday,14,person,0.845535
73,Sunday,14,person,0.5
76,Sunday,14,person,0.354344
30,Monday,14,person,0.425557
83,Sunday,14,person,0.377541
82,Sunday,14,person,0.995033
29,Monday,14,person,0.731059
77,Sunday,14,person,0.549834
76,Sunday,14,person,0.731059
83,Sunday,14,person,0.475021
29,Monday,14,person,0.991837
79,Sunday,14,person,0.28905
28,Monday,14,person,0.937027
77,Sunday,14,person,0.354344
80,Sunday,14,person,0.942676
80,Sunday,14,person,0.401312
80,Sunday,14,person,0.574443
80,Sunday,14,person,0.75026
81,Sunday,14,person,0.817574
33,Monday,14,person,0.475021
81,Sunday,14,person,0.354344
81,Sunday,14,person,0.768525
82,Sunday,14,person,0.880797
29,Monday,14,person,0.668188
28,Monday,14,person,0.997527
30,Monday,14,person,0.998771
38,Monday,14,person,0.450166
36,Monday,14,person,0.952574
29,Monday,14,person,0.845535
32,Monday,14,person,0.549834
38,Monday,14,person,0.425557
29,Monday,14,person,0.450166
29,Monday,14,person,0.645656
29,Monday,14,person,0.998993
32,Monday,14,person,0.425557
31,Monday,14,person,0.28905
32,Monday,14,person,0.880797
30,Monday,14,person,0.997527
29,Monday,14,person,0.785835
32,Monday,14,person,0.28905
31,Monday,14,person,0.331812
31,Monday,14,person,0.28905
43,Monday,14,person,0.5
33,Monday,14,person,0.377541
32,Monday,14,person,0.598688
55,Monday,14,person,0.999254
39,Monday,14,person,0.549834
57,Monday,14,person,0.999089
40,Monday,14,person,0.28905
57,Monday,14,person,0.5
38,Monday,14,person,0.28905
43,Monday,14,person,0.377541
61,Monday,14,person,0.425557
56,Monday,14,person,0.996316
64,Monday,14,person,0.28905
64,Monday,14,person,0.75026
43,Monday,14,person,0.354344
43,Monday,14,person,0.622459
66,Monday,14,person,0.450166
74,Monday,14,person,0.916827
38,Monday,14,person,0.475021
43,Monday,14,person,0.598688
74,Monday,14,person,0.942676
66,Monday,14,person,0.331812
50,Monday,14,person,0.354344
66,Monday,14,person,0.995033
56,Monday,14,person,0.28905
71,Monday,14,person,0.908877
63,Monday,14,person,0.986613
63,Monday,14,person,0.28905
63,Monday,14,person,0.28905
71,Monday,14,person,0.377541
65,Monday,14,person,0.998641
65,Monday,14,person,0.998993
42,Monday,14,person,0.549834
65,Monday,14,person,0.28905
65,Monday,14,person,0.98016
49,Monday,14,person,0.947846
74,Monday,14,person,0.970688
43,Monday,14,person,0.310026
51,Monday,14,person,0.998167
71,Monday,14,person,0.425557
73,Monday,14,person,0.900249
43,Monday,14,person,0.401312
65,Monday,14,person,0.331812
65,Monday,14,person,0.425557
72,Monday,14,person,0.377541
74,Monday,14,person,0.916827
73,Monday,14,person,0.947846
75,Monday,14,person,0.354344
73,Monday,14,person,0.983697
57,Monday,14,person,0.996316
72,Monday,14,person,0.75026
87,Monday,14,person,0.991837
74,Monday,14,person,0.524979
61,Monday,14,person,0.998499
65,Monday,14,person,0.354344
73,Monday,14,person,0.645656
88,Monday,14,person,0.956893
73,Monday,14,person,0.549834
72,Monday,14,person,0.28905
89,Monday,14,person,0.354344
65,Monday,14,person,0.598688
90,Monday,14,person,0.967705
65,Monday,14,person,0.475021
75,Monday,14,person,0.5
90,Monday,14,person,0.377541
93,Monday,14,person,0.28905
87,Monday,14,person,0.475021
66,Monday,14,person,0.331812
74,Monday,14,person,0.937027
74,Monday,14,person,0.890903
28,Tuesday,14,person,0.689974
30,Tuesday,14,person,0.997975
88,Monday,14,person,0.858149
32,Tuesday,14,person,0.75026
76,Monday,14,person,0.998341
89,Monday,14,person,0.998771
89,Monday,14,person,0.401312
33,Tuesday,14,person,0.98016
