interval,ampm,week,day,id
80,PM,13,Saturday,20160402200334-01-00
83,PM,13,Saturday,20160402205255-09-00
80,PM,13,Saturday,20160402200942-02-01
81,PM,13,Saturday,20160402202002-03-00
81,PM,13,Saturday,20160402202056-04-01
83,PM,13,Saturday,20160402205530-10-00
83,PM,13,Saturday,20160402204521-07-01
82,PM,13,Saturday,20160402204331-06-00
81,PM,13,Saturday,20160402202116-05-01
85,PM,13,Saturday,20160402211908-20-01
84,PM,13,Saturday,20160402211057-17-01
83,PM,13,Saturday,20160402204612-08-00
85,PM,13,Saturday,20160402212129-21-01
88,PM,13,Saturday,20160402220817-27-01
85,PM,13,Saturday,20160402211831-19-00
84,PM,13,Saturday,20160402210313-13-00
87,PM,13,Saturday,20160402215524-23-00
89,PM,13,Saturday,20160402222745-32-01
84,PM,13,Saturday,20160402210836-15-00
93,PM,13,Saturday,20160402232907-37-00
88,PM,13,Saturday,20160402220523-24-01
88,PM,13,Saturday,20160402220624-25-01
83,PM,13,Saturday,20160402205601-11-01
84,PM,13,Saturday,20160402210809-14-00
94,PM,13,Saturday,20160402233733-41-01
94,PM,13,Saturday,20160402233001-38-01
89,PM,13,Saturday,20160402222854-33-01
84,PM,13,Saturday,20160402210211-12-00
89,PM,13,Saturday,20160402222001-29-00
88,PM,13,Saturday,20160402220800-26-01
94,PM,13,Saturday,20160402233650-40-00
28,AM,14,Sunday,20160403070729-48-00
94,PM,13,Saturday,20160402233532-39-01
27,AM,14,Sunday,20160403065953-46-00
85,PM,13,Saturday,20160402212358-22-00
84,PM,13,Saturday,20160402211003-16-00
30,AM,14,Sunday,20160403073617-50-01
30,AM,14,Sunday,20160403073552-49-00
89,PM,13,Saturday,20160402222732-31-00
30,AM,14,Sunday,20160403074304-58-01
30,AM,14,Sunday,20160403074439-59-01
30,AM,14,Sunday,20160403074135-56-00
95,PM,13,Saturday,20160402235006-44-00
30,AM,14,Sunday,20160403074001-54-00
35,AM,14,Sunday,20160403085943-84-01
94,PM,13,Saturday,20160402233842-43-01
34,AM,14,Sunday,20160403083022-68-01
84,PM,13,Saturday,20160402211313-18-00
90,PM,13,Saturday,20160402223029-34-01
31,AM,14,Sunday,20160403074623-61-00
27,AM,14,Sunday,20160403065324-45-00
35,AM,14,Sunday,20160403085010-74-00
28,AM,14,Sunday,20160403070244-47-01
36,AM,14,Sunday,20160403090456-88-01
31,AM,14,Sunday,20160403074519-60-01
88,PM,13,Saturday,20160402221028-28-01
93,PM,13,Saturday,20160402232705-35-00
32,AM,14,Sunday,20160403080303-65-00
35,AM,14,Sunday,20160403085212-76-00
36,AM,14,Sunday,20160403090830-91-01
36,AM,14,Sunday,20160403090251-86-01
30,AM,14,Sunday,20160403073806-51-00
30,AM,14,Sunday,20160403074156-57-00
89,PM,13,Saturday,20160402222642-30-01
35,AM,14,Sunday,20160403084828-72-01
32,AM,14,Sunday,20160403080543-66-00
35,AM,14,Sunday,20160403085510-78-00
38,AM,14,Sunday,20160403093157-107-01
36,AM,14,Sunday,20160403091004-92-00
36,AM,14,Sunday,20160403090534-89-00
30,AM,14,Sunday,20160403073929-53-00
93,PM,13,Saturday,20160402232805-36-00
35,AM,14,Sunday,20160403084903-73-01
