classifier,score,year,month,day,hour,minute,second,seqno
Stove,0.958716,2016,04,06,08,19,21,469-01
Stove,0.956664,2016,04,06,08,20,29,470-00
Stove,0.949568,2016,04,06,08,20,51,471-01
Stove,0.961124,2016,04,06,08,26,49,472-00
Stove,0.959473,2016,04,06,08,27,41,473-01
Stove,0.962588,2016,04,06,08,31,49,474-01
Stove,0.946895,2016,04,06,08,32,23,475-00
Stove,0.949798,2016,04,06,08,34,46,476-00
Stove,0.940639,2016,04,06,08,35,11,477-00
Stove,0.936372,2016,04,06,08,37,35,478-01
Stove,0.957941,2016,04,06,08,38,15,479-01
Stove,0.953029,2016,04,06,08,38,50,480-01
Stove,0.953567,2016,04,06,08,43,57,481-00
Stove,0.948124,2016,04,06,08,44,40,482-00
Stove,0.957313,2016,04,06,08,49,21,483-00
Stove,0.965023,2016,04,06,08,51,03,484-00
Stove,0.967662,2016,04,06,08,51,37,485-01
Stove,0.963241,2016,04,06,08,52,42,486-01
Stove,0.962267,2016,04,06,08,53,51,487-00
Stove,0.954851,2016,04,06,08,54,15,488-01
Stove,0.931242,2016,04,06,08,55,01,489-00
Stove,0.957543,2016,04,06,09,01,19,490-01
Stove,0.961756,2016,04,06,09,02,27,491-01
Stove,0.959527,2016,04,06,09,03,50,492-00
Stove,0.956784,2016,04,06,09,04,54,493-00
Stove,0.945701,2016,04,06,09,07,03,494-00
Stove,0.918438,2016,04,06,09,07,24,495-01
Stove,0.946091,2016,04,06,09,09,45,496-00
Stove,0.949468,2016,04,06,09,10,18,497-00
Stove,0.917933,2016,04,06,09,12,15,499-01
Stove,0.925858,2016,04,06,09,13,11,500-00
Stove,0.945103,2016,04,06,09,14,37,502-00
Stove,0.930943,2016,04,06,09,15,32,503-00
Stove,0.940743,2016,04,06,09,15,56,504-01
Stove,0.935953,2016,04,06,09,16,21,505-00
Stove,0.934653,2016,04,06,09,16,44,506-00
Stove,0.943615,2016,04,06,09,17,45,507-00
Stove,0.905771,2016,04,06,09,20,01,508-01
Stove,0.942904,2016,04,06,09,21,24,509-00
Stove,0.91949,2016,04,06,09,22,47,511-00
Stove,0.887799,2016,04,06,09,23,37,512-00
Stove,0.94886,2016,04,06,09,24,08,513-01
Stove,0.916313,2016,04,06,09,25,02,514-00
Stove,0.946214,2016,04,06,09,25,36,515-00
Stove,0.951625,2016,04,06,09,28,21,517-00
Stove,0.948405,2016,04,06,09,29,43,518-00
Stove,0.948372,2016,04,06,09,31,14,519-00
