classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.648851,20160407195710-373-00,2016,4,7,19,57,10
Graduation,0.588919,20160407201126-380-01,2016,4,7,20,11,26
Graduation,0.690214,20160409174724-180-00,2016,4,9,17,47,24
Graduation,0.709889,20160409194831-219-00,2016,4,9,19,48,31
Graduation,0.664484,20160413095718-493-00,2016,4,13,9,57,18
Graduation,0.689695,20160413115628-535-01,2016,4,13,11,56,28
Graduation,0.726114,20160414123439-913-01,2016,4,14,12,34,39
Graduation,0.786527,20160414132912-931-01,2016,4,14,13,29,12
Graduation,0.659372,20160413092317-458-00,2016,4,13,9,23,17
Graduation,0.667703,20160414125733-918-01,2016,4,14,12,57,33
Graduation,0.734127,20160416142919-1624-01,2016,4,16,14,29,19
Graduation,0.681629,20160415123702-1300-01,2016,4,15,12,37,2
Graduation,0.704952,20160415092433-1207-01,2016,4,15,9,24,33
Graduation,0.623514,20160417105423-1973-01,2016,4,17,10,54,23
Graduation,0.664084,20160417120715-1996-00,2016,4,17,12,7,15
Graduation,0.662445,20160416114630-1548-01,2016,4,16,11,46,30
Graduation,0.609384,20160417125509-2010-00,2016,4,17,12,55,9
Graduation,0.584861,20160417125729-2012-01,2016,4,17,12,57,29
Graduation,0.722973,20160417201914-2223-00,2016,4,17,20,19,14
Graduation,0.698731,20160416155251-1658-00,2016,4,16,15,52,51
Graduation,0.747318,20160417122031-2005-00,2016,4,17,12,20,31
Graduation,0.731545,20160417103508-1957-00,2016,4,17,10,35,8
Graduation,0.718038,20160418151554-2367-00,2016,4,18,15,15,54
Graduation,0.624965,20160416222327-1850-00,2016,4,16,22,23,27
Graduation,0.720378,20160417120637-1995-00,2016,4,17,12,6,37
Graduation,0.704512,20160420072949-2826-00,2016,4,20,7,29,49
Graduation,0.729255,20160419114729-2631-01,2016,4,19,11,47,29
Graduation,0.718825,20160421162105-3276-01,2016,4,21,16,21,5
Graduation,0.747315,20160422085258-3449-01,2016,4,22,8,52,58
Graduation,0.762147,20160420173433-2991-01,2016,4,20,17,34,33
Graduation,0.733292,20160422161757-3618-00,2016,4,22,16,17,57
Graduation,0.740447,20160420185821-3047-01,2016,4,20,18,58,21
Graduation,0.677511,20160421151203-3241-01,2016,4,21,15,12,3
Graduation,0.650434,20160420212910-3100-01,2016,4,20,21,29,10
Graduation,0.704293,20160423124353-3911-01,2016,4,23,12,43,53
Graduation,0.669112,20160425124225-16-01,2016,4,25,12,42,25
Graduation,0.808737,20160403144956-256-00,2016,4,3,14,49,56
Graduation,0.703004,20160403143518-245-00,2016,4,3,14,35,18
Graduation,0.654556,20160403154013-271-00,2016,4,3,15,40,13
