interval,ampm,week,day,id
26,AM,21,Wednesday,20160525064420-20-00
48,PM,21,Wednesday,20160525120742-29-01
48,PM,21,Wednesday,20160525120712-27-01
44,AM,21,Wednesday,20160525110818-06-00
42,AM,21,Wednesday,20160525103219-41-00
44,AM,21,Wednesday,20160525110922-07-00
36,AM,21,Wednesday,20160525091343-11-01
27,AM,21,Wednesday,20160525064840-25-00
48,PM,21,Wednesday,20160525120804-30-00
48,PM,21,Wednesday,20160525121125-33-00
24,AM,21,Wednesday,20160525060804-08-01
46,AM,21,Wednesday,20160525113446-14-00
48,PM,21,Wednesday,20160525120509-25-01
40,AM,21,Wednesday,20160525101356-27-01
49,PM,21,Wednesday,20160525121854-39-01
42,AM,21,Wednesday,20160525103524-46-00
48,PM,21,Wednesday,20160525120654-26-01
41,AM,21,Wednesday,20160525101527-30-00
50,PM,21,Wednesday,20160525123044-43-01
42,AM,21,Wednesday,20160525103936-51-00
49,PM,21,Wednesday,20160525122108-40-01
36,AM,21,Wednesday,20160525090841-03-01
46,AM,21,Wednesday,20160525113655-15-01
26,AM,21,Wednesday,20160525064046-15-00
42,AM,21,Wednesday,20160525103337-43-00
50,PM,21,Wednesday,20160525123721-47-00
48,PM,21,Wednesday,20160525120938-31-00
42,AM,21,Wednesday,20160525104007-52-01
26,AM,21,Wednesday,20160525064208-18-00
52,PM,21,Wednesday,20160525130840-54-00
48,PM,21,Wednesday,20160525121251-34-00
42,AM,21,Wednesday,20160525103506-45-01
39,AM,21,Wednesday,20160525094704-16-01
47,AM,21,Wednesday,20160525115642-20-00
48,PM,21,Wednesday,20160525121450-36-01
48,PM,21,Wednesday,20160525121028-32-00
42,AM,21,Wednesday,20160525104332-56-00
52,PM,21,Wednesday,20160525130734-53-00
40,AM,21,Wednesday,20160525101057-23-00
45,AM,21,Wednesday,20160525111742-13-00
27,AM,21,Wednesday,20160525064824-24-00
52,PM,21,Wednesday,20160525130918-56-01
49,PM,21,Wednesday,20160525121729-37-01
66,PM,21,Wednesday,20160525163534-73-01
45,AM,21,Wednesday,20160525111634-11-01
41,AM,21,Wednesday,20160525101617-31-01
30,AM,21,Wednesday,20160525073122-09-01
41,AM,21,Wednesday,20160525102441-35-00
68,PM,21,Wednesday,20160525171440-75-01
62,PM,21,Wednesday,20160525153436-67-01
34,AM,21,Wednesday,20160525083845-13-00
45,AM,21,Wednesday,20160525111655-12-00
50,PM,21,Wednesday,20160525123127-44-01
42,AM,21,Wednesday,20160525103006-38-00
49,PM,21,Wednesday,20160525121837-38-01
36,AM,21,Wednesday,20160525090930-06-01
46,AM,21,Wednesday,20160525114135-16-01
47,AM,21,Wednesday,20160525114618-18-01
66,PM,21,Wednesday,20160525163349-72-01
72,PM,21,Wednesday,20160525181140-80-00
50,PM,21,Wednesday,20160525124117-52-00
36,AM,21,Wednesday,20160525091140-09-01
50,PM,21,Wednesday,20160525123302-45-01
48,PM,21,Wednesday,20160525120730-28-01
55,PM,21,Wednesday,20160525134606-62-00
42,AM,21,Wednesday,20160525104349-57-01
54,PM,21,Wednesday,20160525134104-61-01
54,PM,21,Wednesday,20160525133904-57-00
73,PM,21,Wednesday,20160525182948-82-01
76,PM,21,Wednesday,20160525191441-85-00
40,AM,21,Wednesday,20160525101300-25-00
57,PM,21,Wednesday,20160525142018-64-01
47,AM,21,Wednesday,20160525115227-19-00
79,PM,21,Wednesday,20160525194555-92-01
54,PM,21,Wednesday,20160525134028-60-00
43,AM,21,Wednesday,20160525104804-61-01
66,PM,21,Wednesday,20160525163222-70-01
76,PM,21,Wednesday,20160525190805-84-01
47,AM,21,Wednesday,20160525115731-21-01
86,PM,21,Wednesday,20160525214117-95-01
40,AM,21,Wednesday,20160525101342-26-00
70,PM,21,Wednesday,20160525173004-76-00
49,PM,21,Wednesday,20160525122203-41-00
78,PM,21,Wednesday,20160525193113-89-01
67,PM,21,Wednesday,20160525165341-74-00
63,PM,21,Wednesday,20160525154626-68-00
47,AM,21,Wednesday,20160525115827-22-00
87,PM,21,Wednesday,20160525214658-100-01
50,PM,21,Wednesday,20160525123408-46-00
28,AM,21,Thursday,20160526070528-135-00
87,PM,21,Wednesday,20160525214526-97-00
70,PM,21,Wednesday,20160525173047-77-00
63,PM,21,Wednesday,20160525154646-69-01
94,PM,21,Wednesday,20160525233153-103-00
40,AM,21,Wednesday,20160525101421-28-01
79,PM,21,Wednesday,20160525194537-91-01
66,PM,21,Wednesday,20160525163256-71-01
54,PM,21,Wednesday,20160525133939-58-00
27,AM,21,Thursday,20160526064557-113-00
24,AM,21,Thursday,20160526060129-105-01
28,AM,21,Thursday,20160526070600-136-00
62,PM,21,Wednesday,20160525153345-66-00
72,PM,21,Wednesday,20160525180924-79-00
50,PM,21,Wednesday,20160525124105-51-01
24,AM,21,Thursday,20160526060459-106-00
42,AM,21,Wednesday,20160525103249-42-00
24,AM,21,Thursday,20160526061436-108-01
27,AM,21,Thursday,20160526065248-121-00
74,PM,21,Wednesday,20160525183022-83-01
42,AM,21,Wednesday,20160525103737-48-01
24,AM,21,Thursday,20160526061415-107-01
72,PM,21,Wednesday,20160525181413-81-00
28,AM,21,Thursday,20160526070624-137-00
25,AM,21,Thursday,20160526061737-109-00
29,AM,21,Thursday,20160526071917-142-00
52,PM,21,Wednesday,20160525130907-55-00
87,PM,21,Wednesday,20160525214606-98-00
77,PM,21,Wednesday,20160525192844-86-01
27,AM,21,Thursday,20160526065407-124-00
54,PM,21,Wednesday,20160525133955-59-01
26,AM,21,Thursday,20160526064459-112-00
27,AM,21,Thursday,20160526065857-129-00
42,AM,21,Wednesday,20160525104212-55-00
27,AM,21,Thursday,20160526065957-130-00
83,PM,21,Wednesday,20160525205213-94-00
32,AM,21,Thursday,20160526080638-157-01
44,AM,21,Wednesday,20160525110222-02-00
57,PM,21,Wednesday,20160525141942-63-01
60,PM,21,Wednesday,20160525150504-65-01
29,AM,21,Thursday,20160526072907-146-00
32,AM,21,Thursday,20160526080045-151-00
28,AM,21,Thursday,20160526070042-131-00
89,PM,21,Wednesday,20160525222732-101-01
70,PM,21,Wednesday,20160525173346-78-01
87,PM,21,Wednesday,20160525214629-99-00
32,AM,21,Thursday,20160526080739-158-00
27,AM,21,Thursday,20160526065024-117-01
30,AM,21,Thursday,20160526073234-148-01
48,PM,21,Wednesday,20160525120340-23-00
32,AM,21,Thursday,20160526080141-152-01
28,AM,21,Thursday,20160526070147-133-00
