ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV
0.310026,person,02,23,68x44+368+192,36,04,50,20160402233650-40-00.jpg,2016,20160402233650-40-00,1-64791befb771d31e08796718d2ff7320
0.377541,person,02,23,46x74+398+186,37,04,33,20160402233733-41-01.jpg,2016,20160402233733-41-01,1-50584efb7323a2396980a2f0cb975f36
0.475021,person,02,23,48x70+394+190,38,04,13,20160402233813-42-01.jpg,2016,20160402233813-42-01,1-f470b35096cbb84b62de71e169dadab2
0.401312,person,02,23,42x48+384+190,38,04,42,20160402233842-43-01.jpg,2016,20160402233842-43-01,1-739be6615b57d475dd9ed11fdd135a2b
,NO_TAGS,02,23,136x134+246+258,50,04,06,20160402235006-44-00.jpg,2016,20160402235006-44-00,1-660bb85c75e4c65a15f14df9910c7d51
,NO_TAGS,03,06,24x68+224+194,53,04,24,20160403065324-45-00.jpg,2016,20160403065324-45-00,1-88a985af9ca995ab79c51e115bf484d2
,NO_TAGS,03,06,54x38+74+238,59,04,53,20160403065953-46-00.jpg,2016,20160403065953-46-00,1-ac3f598d5083751b65be080385a02b38
,NO_TAGS,03,07,130x168+120+90,02,04,44,20160403070244-47-01.jpg,2016,20160403070244-47-01,1-898d4cc71c266323aa4a97dbdc8735b3
,NO_TAGS,03,07,52x54+294+140,07,04,29,20160403070729-48-00.jpg,2016,20160403070729-48-00,1-56f045bda5e992b30b2d28f2118588c9
0.880797,person,03,07,334x240+128+82,35,04,52,20160403073552-49-00.jpg,2016,20160403073552-49-00,1-60c88c9850efed3efab2197da8a7fe11
0.268941,person,03,07,98x128+372+124,36,04,17,20160403073617-50-01.jpg,2016,20160403073617-50-01,1-f7d94d50537e39b9842bb0af60b73331
,NO_TAGS,03,07,574x478+-7+0,38,04,06,20160403073806-51-00.jpg,2016,20160403073806-51-00,1-007c25b8380740e2e166d0e0d37bace9
0.832018,person,03,07,36x94+402+176,38,04,56,20160403073856-52-00.jpg,2016,20160403073856-52-00,1-6bc9860871a9e8b9bc114935e0fbd379
0.982014,person,03,07,24x218+394+146,39,04,29,20160403073929-53-00.jpg,2016,20160403073929-53-00,1-dcf7bb9fe6004d831ff0c4e7d66a8e2a
0.985226,person,03,07,22x68+226+354,40,04,01,20160403074001-54-00.jpg,2016,20160403074001-54-00,1-e4db26eb722ac17aab0bbde6f80fc38e
,NO_TAGS,03,07,372x318+154+54,40,04,46,20160403074046-55-00.jpg,2016,20160403074046-55-00,1-7c38e0ebd5e7dc7f282de396f66143e7
,NO_TAGS,03,07,52x40+194+270,41,04,35,20160403074135-56-00.jpg,2016,20160403074135-56-00,1-ace413032c486d4e56d330891e325e5f
,NO_TAGS,03,07,38x38+178+278,41,04,56,20160403074156-57-00.jpg,2016,20160403074156-57-00,1-79097f70fa754e6663e59e613e64170e
,NO_TAGS,03,07,44x48+144+288,43,04,04,20160403074304-58-01.jpg,2016,20160403074304-58-01,1-1eb179b0aefd3dcf3b6d8d2372cad965
,NO_TAGS,03,07,50x74+396+326,44,04,39,20160403074439-59-01.jpg,2016,20160403074439-59-01,1-ed7755879eb29b17c154563f2eb80b2b
,NO_TAGS,03,07,58x54+144+266,45,04,19,20160403074519-60-01.jpg,2016,20160403074519-60-01,1-5efa8d7a7af31b8e20a883888cb368b1
,NO_TAGS,03,07,94x324+152+154,46,04,23,20160403074623-61-00.jpg,2016,20160403074623-61-00,1-7b9e92ca242d4d383bf27f9545c088b5
,NO_TAGS,03,07,56x60+394+282,46,04,49,20160403074649-62-00.jpg,2016,20160403074649-62-00,1-8e7df2c71d286965bf9b1e70f8bbf55d
,NO_TAGS,03,07,54x84+232+164,52,04,47,20160403075247-63-01.jpg,2016,20160403075247-63-01,1-9afceb1b5522d93d6d7cf3809e15e192
,NO_TAGS,03,08,32x60+186+352,02,04,33,20160403080233-64-00.jpg,2016,20160403080233-64-00,1-12eb6ce599fda5d843438183ff18ad5d
0.98016,person,03,08,298x164+150+106,03,04,03,20160403080303-65-00.jpg,2016,20160403080303-65-00,1-42989a0d940db298bb6d4d2ffe01abff
0.989013,person,03,08,188x404+280+46,05,04,43,20160403080543-66-00.jpg,2016,20160403080543-66-00,1-d9a026f32a75128e7fc62a0ef5a339bc
,NO_TAGS,03,08,26x64+414+414,14,04,50,20160403081450-67-00.jpg,2016,20160403081450-67-00,1-bf103c1697538a49ca2b44cca40bc1cb
,NO_TAGS,03,08,52x54+190+350,30,04,22,20160403083022-68-01.jpg,2016,20160403083022-68-01,1-bd67fce3a179eebe876af5990d67a106
0.28905,person,03,08,574x478+44+0,44,04,28,20160403084428-69-00.jpg,2016,20160403084428-69-00,1-38ed374235ac9c380d9e9e88630f5807
0.574443,person,03,08,582x478+88+0,45,04,17,20160403084517-70-00.jpg,2016,20160403084517-70-00,1-d21fb1436f63f5d8c7ee7514d5df98ee
,NO_TAGS,03,08,40x44+394+286,46,04,46,20160403084646-71-01.jpg,2016,20160403084646-71-01,1-fd33627392f81044cb669318a2f8a513
,NO_TAGS,03,08,56x34+190+260,48,04,28,20160403084828-72-01.jpg,2016,20160403084828-72-01,1-d83933cc077c4328ee1534c61ccea99c
0.598688,person,03,08,56x244+378+124,49,04,03,20160403084903-73-01.jpg,2016,20160403084903-73-01,1-5bd4f2d1b23a6971826b4b60b147b8ab
0.549834,person,03,08,36x70+210+266,50,04,10,20160403085010-74-00.jpg,2016,20160403085010-74-00,1-6c399ae8897dcee5b5cf086951d4619e
0.785835,person,03,08,332x394+164+26,50,04,57,20160403085057-75-01.jpg,2016,20160403085057-75-01,1-361b8acbe74376fe2be6d55dcac9db39
0.354344,person,03,08,24x114+218+108,52,04,12,20160403085212-76-00.jpg,2016,20160403085212-76-00,1-f9da452d2d9e75de1833a77a35f28321
0.549834,person,03,08,18x104+224+86,53,04,53,20160403085353-77-00.jpg,2016,20160403085353-77-00,1-615e844b73c02f3c61991301b5c32868
0.549834,person,03,08,28x104+220+160,55,04,10,20160403085510-78-00.jpg,2016,20160403085510-78-00,1-0fd94f71c65da7a0aff50c38c5ee7178
0.28905,person,03,08,26x100+224+164,55,04,53,20160403085553-79-00.jpg,2016,20160403085553-79-00,1-afdf7558b6b3bbcce146441bfaf63dd2
0.310026,person,03,08,52x38+398+294,56,04,04,20160403085604-80-00.jpg,2016,20160403085604-80-00,1-090b5445d888cc77d39a28581de51158
0.524979,person,03,08,28x90+118+334,56,04,21,20160403085621-81-00.jpg,2016,20160403085621-81-00,1-515dc5a189925240ed87e58123a25bbc
0.354344,person,03,08,46x68+440+180,56,04,32,20160403085632-82-00.jpg,2016,20160403085632-82-00,1-2098440576ab25dd489fb527f6527818
0.475021,person,03,08,34x88+148+314,58,04,23,20160403085823-83-00.jpg,2016,20160403085823-83-00,1-78fcb2ae978683eb4a1a4060fa2c3194
,NO_TAGS,03,08,34x64+140+304,59,04,43,20160403085943-84-01.jpg,2016,20160403085943-84-01,1-ff6adbd29172f03540d7ad660189986e
0.524979,person,03,09,302x464+10+0,01,04,19,20160403090119-85-00.jpg,2016,20160403090119-85-00,1-8ba05608fbd6b9bbb78feb2945b4a6fa
,NO_TAGS,03,09,492x110+46+278,02,04,51,20160403090251-86-01.jpg,2016,20160403090251-86-01,1-08dbfe9a1b90bacf9d52c3ab002deb0a
0.785835,person,03,09,536x430+50+6,03,04,22,20160403090322-87-01.jpg,2016,20160403090322-87-01,1-37216e6ad383717214bbfe617fe77b31
0.845535,person,03,09,638x448+-13+10,04,04,56,20160403090456-88-01.jpg,2016,20160403090456-88-01,1-fab8429b44c32950837bb9afe4f2b1af
0.75026,person,03,09,52x140+220+90,05,04,34,20160403090534-89-00.jpg,2016,20160403090534-89-00,1-1888c37c65b3e0731e347a9a1cf44d0a
0.524979,person,03,09,52x44+124+316,06,04,04,20160403090604-90-00.jpg,2016,20160403090604-90-00,1-06bca2a8c43d3c250b3a661863b2bec0
0.450166,person,03,09,44x80+134+302,08,04,30,20160403090830-91-01.jpg,2016,20160403090830-91-01,1-5550858190073ced44138e9a8b21bb28
0.731059,person,03,09,624x478+10+0,10,04,04,20160403091004-92-00.jpg,2016,20160403091004-92-00,1-6361585612a42fcce796e58fc752054b
0.598688,person,03,09,24x98+226+156,11,04,54,20160403091154-93-01.jpg,2016,20160403091154-93-01,1-43949027679007d8ae9ab7da8b2fc23e
