colnum,colname,min,max,sum,mean,median,stdev,nulls,unique,freq,len
45,doc/visual/scores/9/score,"0.529958","0.887649","1495.152373","0.744968795715","0.755366","0.0660304511874","True","1999","{ 0.765078: 2, 0.769402: 2, 0.800256: 2, 0.810914: 2, 0.819961: 2 }","None"
46,doc/visual/scores/10/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","136","{ Pubbing: 144, Archery: 137, Beauty_Salon: 135, Engine_or_Control_Room: 130, Stockroom: 127 }","27"
47,doc/visual/scores/10/name,"Adventure_Sport","Zoo","None","None","None","None","True","136","{ Pubbing: 144, Archery: 137, Beauty_Salon: 135, Engine_or_Control_Room: 130, Stockroom: 127 }","27"
48,doc/visual/scores/10/score,"0.51465","0.875153","1431.136479","0.7130724858","0.721269","0.0688729234587","True","1997","{ 0.703611: 2, 0.689277: 2, 0.678288: 2, 0.58223: 2, 0.681172: 2 }","None"
49,doc/visual/scores/11/classifier_id,"Adult","Yellow","None","None","None","None","True","142","{ Riot: 160, Archery: 144, Pubbing: 117, Engine_or_Control_Room: 113, Big_Group: 74 }","27"
50,doc/visual/scores/11/name,"Adult","Yellow","None","None","None","None","True","142","{ Riot: 160, Archery: 144, Pubbing: 117, Engine_or_Control_Room: 113, Big_Group: 74 }","27"
51,doc/visual/scores/11/score,"0.501305","0.852225","1349.934789","0.67598136655","0.678137","0.0692916696288","True","1987","{ 0.620064: 2, 0.675013: 2, 0.763796: 2, 0.662239: 2, 0.793106: 2 }","None"
52,doc/visual/scores/12/classifier_id,"Adult","Yellow","None","None","None","None","True","141","{ Archery: 163, Riot: 108, Engine_or_Control_Room: 103, Pubbing: 99, Industrial_Space: 93 }","27"
53,doc/visual/scores/12/name,"Adult","Yellow","None","None","None","None","True","141","{ Archery: 163, Riot: 108, Engine_or_Control_Room: 103, Pubbing: 99, Industrial_Space: 93 }","27"
54,doc/visual/scores/12/score,"0.501242","0.833018","1247.088491","0.63691955618","0.633931","0.0659674677964","True","1948","{ 0.705707: 2, 0.615389: 2, 0.634257: 2, 0.624984: 2, 0.534551: 2 }","None"
55,doc/visual/scores/13/classifier_id,"Adult","Yellow","None","None","None","None","True","138","{ Riot: 122, Appliance: 111, Archery: 109, Industrial_Space: 103, Engine_or_Control_Room: 99 }","27"
56,doc/visual/scores/13/name,"Adult","Yellow","None","None","None","None","True","138","{ Riot: 122, Appliance: 111, Archery: 109, Industrial_Space: 103, Engine_or_Control_Room: 99 }","27"
57,doc/visual/scores/13/score,"0.500525","0.809972","1133.258577","0.602797115426","0.598721","0.0588172394697","True","1870","{ 0.632555: 2, 0.599571: 2, 0.634905: 2, 0.639967: 2, 0.675347: 2 }","None"
58,doc/visual/scores/14/classifier_id,"Adult","Yellow","None","None","None","None","True","120","{ Appliance: 189, Whiskey: 120, Industrial_Space: 106, Archery: 74, Living_Room: 73 }","27"
59,doc/visual/scores/14/name,"Adult","Yellow","None","None","None","None","True","120","{ Appliance: 189, Whiskey: 120, Industrial_Space: 106, Archery: 74, Living_Room: 73 }","27"
60,doc/visual/scores/14/score,"0.500365","0.7616","986.811849","0.575400495044","0.567627","0.0507816313105","True","1707","{ 0.573325: 2, 0.561631: 2, 0.53464: 2, 0.523451: 2, 0.506326: 2 }","None"
61,doc/visual/scores/15/classifier_id,"Adult","Yellow","None","None","None","None","True","103","{ Appliance: 222, Whiskey: 136, Industrial_Space: 60, Store: 58, Living_Room: 52 }","27"
62,doc/visual/scores/15/name,"Adult","Yellow","None","None","None","None","True","103","{ Appliance: 222, Whiskey: 136, Industrial_Space: 60, Store: 58, Living_Room: 52 }","27"
63,doc/visual/scores/15/score,"0.500019","0.725095","803.698635","0.555808184647","0.545846","0.0417773133287","True","1437","{ 0.559787: 2, 0.613515: 2, 0.569233: 2, 0.511365: 2, 0.576528: 2 }","None"
64,doc/visual/scores/16/classifier_id,"Adult","Yellow","None","None","None","None","True","93","{ Appliance: 214, Whiskey: 93, Store: 59, Eatery_Space: 46, Restaurant: 45 }","22"
65,doc/visual/scores/16/name,"Adult","Yellow","None","None","None","None","True","93","{ Appliance: 214, Whiskey: 93, Store: 59, Eatery_Space: 46, Restaurant: 45 }","22"
66,doc/visual/scores/16/score,"0.500052","0.724743","598.74824","0.543822198002","0.532707","0.0344225521342","True","1096","{ 0.516338: 2, 0.518007: 2, 0.533298: 2, 0.533684: 2, 0.591786: 2 }","None"
67,doc/visual/scores/17/classifier_id,"Adult","Yellow","None","None","None","None","True","83","{ Appliance: 146, Whiskey: 59, Magenta: 35, Eatery_Space: 34, Store: 33 }","22"
68,doc/visual/scores/17/name,"Adult","Yellow","None","None","None","None","True","83","{ Appliance: 146, Whiskey: 59, Magenta: 35, Eatery_Space: 34, Store: 33 }","22"
69,doc/visual/scores/17/score,"0.500109","0.633296","391.904305","0.534657987722","0.526644","0.0281172589251","True","730","{ 0.520907: 2, 0.516395: 2, 0.536653: 2, 0.576075: 1, 0.514944: 1 }","None"
70,doc/visual/scores/18/classifier_id,"Adult","Yellow","None","None","None","None","True","66","{ Appliance: 80, Whiskey: 36, Store: 30, Eatery_Space: 19, Magenta: 14 }","22"
71,doc/visual/scores/18/name,"Adult","Yellow","None","None","None","None","True","66","{ Appliance: 80, Whiskey: 36, Store: 30, Eatery_Space: 19, Magenta: 14 }","22"
72,doc/visual/scores/18/score,"0.50002","0.616246","221.903092","0.529601651551","0.523172","0.0233877380461","True","419","{ 0.562732: 1, 0.530274: 1, 0.527082: 1, 0.516048: 1, 0.502231: 1 }","None"
73,doc/visual/scores/19/classifier_id,"Adult","Yellow","None","None","None","None","True","50","{ Appliance: 47, Whiskey: 26, Store: 19, Big_Group: 11, Beer: 8 }","22"
74,doc/visual/scores/19/name,"Adult","Yellow","None","None","None","None","True","50","{ Appliance: 47, Whiskey: 26, Store: 19, Big_Group: 11, Beer: 8 }","22"
75,doc/visual/scores/19/score,"0.500039","0.612253","128.311039","0.523718526531","0.51849","0.0205351533698","True","245","{ 0.508953: 1, 0.533627: 1, 0.543439: 1, 0.500039: 1, 0.51517: 1 }","None"
76,doc/visual/scores/20/classifier_id,"Adult","Yellow","None","None","None","None","True","36","{ Appliance: 12, White_Wine: 9, Whiskey: 8, Beer: 7, Store: 4 }","22"
77,doc/visual/scores/20/name,"Adult","Yellow","None","None","None","None","True","36","{ Appliance: 12, White_Wine: 9, Whiskey: 8, Beer: 7, Store: 4 }","22"
78,doc/visual/scores/20/score,"0.500162","0.589161","49.558501","0.521668431579","0.513397","0.0210186145989","True","95","{ 0.502645: 1, 0.510779: 1, 0.501943: 1, 0.543634: 1, 0.518207: 1 }","None"
79,doc/visual/scores/21/classifier_id,"Appliance","Yellow","None","None","None","None","True","25","{ Engine_or_Control_Room: 3, Wine_or_Liquor: 2, White_Wine: 2, Store: 2, Appliance: 2 }","22"
80,doc/visual/scores/21/name,"Appliance","Yellow","None","None","None","None","True","25","{ Engine_or_Control_Room: 3, Wine_or_Liquor: 2, White_Wine: 2, Store: 2, Appliance: 2 }","22"
81,doc/visual/scores/21/score,"0.501254","0.57427","18.301463","0.522898942857","0.515567","0.0214995883867","True","35","{ 0.528468: 1, 0.507811: 1, 0.515708: 1, 0.572462: 1, 0.501289: 1 }","None"
82,doc/visual/scores/22/classifier_id,"Appliance","White_Wine","None","None","None","None","True","15","{ Celebrating: 2, Brandy: 2, Bar: 1, Riot: 1, Camping: 1 }","22"
83,doc/visual/scores/22/name,"Appliance","White_Wine","None","None","None","None","True","15","{ Celebrating: 2, Brandy: 2, Bar: 1, Riot: 1, Camping: 1 }","22"
84,doc/visual/scores/22/score,"0.501132","0.559129","8.833424","0.519613176471","0.510327","0.0203796983128","True","17","{ 0.559129: 1, 0.52208: 1, 0.554039: 1, 0.501934: 1, 0.501334: 1 }","None"
85,doc/visual/scores/23/classifier_id,"Appliance","Wine_or_Liquor","None","None","None","None","True","5","{ Classroom: 1, Sweet_Treat: 1, Appliance: 1, Wine_or_Liquor: 1, White_Wine: 1 }","14"
86,doc/visual/scores/23/name,"Appliance","Wine_or_Liquor","None","None","None","None","True","5","{ Classroom: 1, Sweet_Treat: 1, Appliance: 1, Wine_or_Liquor: 1, White_Wine: 1 }","14"
87,doc/visual/scores/23/score,"0.502154","0.545727","2.602976","0.5205952","0.514573","0.0155562177331","True","5","{ 0.530306: 1, 0.502154: 1, 0.514573: 1, 0.545727: 1, 0.510216: 1 }","None"
88,doc/visual/scores/24/classifier_id,"Conference_Room","Conference_Room","None","None","None","None","True","1","{ Conference_Room: 1 }","15"
89,doc/visual/scores/24/name,"Conference_Room","Conference_Room","None","None","None","None","True","1","{ Conference_Room: 1 }","15"
90,doc/visual/scores/24/score,"0.528259","0.528259","0.528259","0.528259","0.528259","0.0","True","1","{ 0.528259: 1 }","None"
91,doc/visual/scores/25/classifier_id,"Brandy","Brandy","None","None","None","None","True","1","{ Brandy: 1 }","6"
92,doc/visual/scores/25/name,"Brandy","Brandy","None","None","None","None","True","1","{ Brandy: 1 }","6"
93,doc/visual/scores/25/score,"0.50379","0.50379","0.50379","0.50379","0.50379","0.0","True","1","{ 0.50379: 1 }","None"
