interval,day,classifier,score
29,Monday,person,0.785835
30,Monday,person,0.997527
30,Monday,person,0.998771
30,Monday,person,0.425557
31,Monday,person,0.28905
31,Monday,person,0.28905
31,Monday,person,0.331812
32,Monday,person,0.549834
32,Monday,person,0.28905
32,Monday,person,0.880797
32,Monday,person,0.598688
32,Monday,person,0.425557
33,Monday,person,0.377541
33,Monday,person,0.475021
36,Monday,person,0.952574
38,Monday,person,0.475021
38,Monday,person,0.28905
38,Monday,person,0.450166
38,Monday,person,0.425557
39,Monday,person,0.549834
40,Monday,person,0.28905
42,Monday,person,0.549834
43,Monday,person,0.310026
43,Monday,person,0.377541
43,Monday,person,0.401312
43,Monday,person,0.354344
43,Monday,person,0.598688
43,Monday,person,0.622459
43,Monday,person,0.5
49,Monday,person,0.947846
50,Monday,person,0.354344
51,Monday,person,0.998167
55,Monday,person,0.999254
56,Monday,person,0.28905
56,Monday,person,0.996316
57,Monday,person,0.996316
57,Monday,person,0.999089
57,Monday,person,0.5
61,Monday,person,0.998499
61,Monday,person,0.425557
63,Monday,person,0.986613
63,Monday,person,0.28905
63,Monday,person,0.28905
64,Monday,person,0.28905
64,Monday,person,0.75026
65,Monday,person,0.998993
65,Monday,person,0.28905
65,Monday,person,0.331812
65,Monday,person,0.425557
65,Monday,person,0.598688
65,Monday,person,0.475021
65,Monday,person,0.98016
65,Monday,person,0.354344
65,Monday,person,0.998641
66,Monday,person,0.331812
66,Monday,person,0.450166
66,Monday,person,0.331812
66,Monday,person,0.995033
67,Monday,person,0.998993
71,Monday,person,0.908877
71,Monday,person,0.377541
71,Monday,person,0.425557
72,Monday,person,0.28905
72,Monday,person,0.75026
72,Monday,person,0.377541
73,Monday,person,0.947846
73,Monday,person,0.645656
73,Monday,person,0.983697
73,Monday,person,0.900249
73,Monday,person,0.549834
74,Monday,person,0.970688
74,Monday,person,0.916827
74,Monday,person,0.916827
74,Monday,person,0.937027
74,Monday,person,0.524979
74,Monday,person,0.942676
74,Monday,person,0.890903
75,Monday,person,0.5
75,Monday,person,0.354344
76,Monday,person,0.998341
77,Monday,person,0.331812
84,Monday,person,0.377541
87,Monday,person,0.475021
87,Monday,person,0.991837
88,Monday,person,0.354344
88,Monday,person,0.524979
88,Monday,person,0.858149
88,Monday,person,0.956893
89,Monday,person,0.377541
89,Monday,person,0.998771
89,Monday,person,0.401312
89,Monday,person,0.354344
90,Monday,person,0.377541
90,Monday,person,0.377541
90,Monday,person,0.354344
90,Monday,person,0.524979
90,Monday,person,0.574443
90,Monday,person,0.401312
90,Monday,person,0.967705
90,Monday,person,0.331812
90,Monday,person,0.401312
90,Monday,person,0.817574
90,Monday,person,0.310026
90,Monday,person,0.310026
90,Monday,person,0.598688
91,Monday,person,0.377541
91,Monday,person,0.310026
93,Monday,person,0.28905
95,Monday,person,0.858149
25,Tuesday,person,0.331812
27,Tuesday,person,0.990987
28,Tuesday,person,0.450166
28,Tuesday,person,0.268941
28,Tuesday,person,0.689974
29,Tuesday,person,0.916827
29,Tuesday,person,0.817574
29,Tuesday,person,0.549834
29,Tuesday,person,0.99394
29,Tuesday,person,0.924142
29,Tuesday,person,0.354344
30,Tuesday,person,0.450166
30,Tuesday,person,0.845535
30,Tuesday,person,0.401312
30,Tuesday,person,0.997975
32,Tuesday,person,0.75026
32,Tuesday,person,0.785835
32,Tuesday,person,0.310026
33,Tuesday,person,0.574443
33,Tuesday,person,0.858149
33,Tuesday,person,0.710949
33,Tuesday,person,0.817574
33,Tuesday,person,0.880797
33,Tuesday,person,0.98016
33,Tuesday,person,0.268941
33,Tuesday,person,0.98016
33,Tuesday,person,0.574443
33,Tuesday,person,0.768525
33,Tuesday,person,0.475021
33,Tuesday,person,0.574443
34,Tuesday,person,0.598688
34,Tuesday,person,0.802184
35,Tuesday,person,0.450166
35,Tuesday,person,0.598688
35,Tuesday,person,0.310026
36,Tuesday,person,0.524979
36,Tuesday,person,0.98016
36,Tuesday,person,0.975873
36,Tuesday,person,0.5
36,Tuesday,person,0.985226
37,Tuesday,person,0.99593
38,Tuesday,person,0.993307
38,Tuesday,person,0.845535
41,Tuesday,person,0.956893
44,Tuesday,person,0.731059
44,Tuesday,person,0.622459
44,Tuesday,person,0.817574
44,Tuesday,person,0.845535
45,Tuesday,person,0.622459
50,Tuesday,person,0.768525
50,Tuesday,person,0.450166
50,Tuesday,person,0.689974
50,Tuesday,person,0.668188
50,Tuesday,person,0.710949
50,Tuesday,person,0.998167
50,Tuesday,person,0.983697
50,Tuesday,person,0.425557
50,Tuesday,person,0.731059
50,Tuesday,person,0.75026
50,Tuesday,person,0.785835
50,Tuesday,person,0.908877
50,Tuesday,person,0.802184
50,Tuesday,person,0.731059
50,Tuesday,person,0.768525
50,Tuesday,person,0.908877
51,Tuesday,person,0.998887
57,Tuesday,person,0.998341
57,Tuesday,person,0.998771
68,Tuesday,person,0.997762
69,Tuesday,person,0.997268
70,Tuesday,person,0.668188
70,Tuesday,person,0.880797
70,Tuesday,person,0.622459
70,Tuesday,person,0.668188
71,Tuesday,person,0.331812
71,Tuesday,person,0.268941
71,Tuesday,person,0.802184
71,Tuesday,person,0.964429
72,Tuesday,person,0.973403
72,Tuesday,person,0.549834
73,Tuesday,person,0.598688
73,Tuesday,person,0.908877
73,Tuesday,person,0.998771
73,Tuesday,person,0.986613
73,Tuesday,person,0.574443
73,Tuesday,person,0.574443
73,Tuesday,person,0.689974
74,Tuesday,person,0.960834
74,Tuesday,person,0.832018
74,Tuesday,person,0.937027
74,Tuesday,person,0.802184
74,Tuesday,person,0.916827
74,Tuesday,person,0.98016
75,Tuesday,person,0.645656
75,Tuesday,person,0.989013
75,Tuesday,person,0.817574
75,Tuesday,person,0.947846
75,Tuesday,person,0.964429
76,Tuesday,person,0.710949
76,Tuesday,person,0.817574
76,Tuesday,person,0.668188
76,Tuesday,person,0.937027
76,Tuesday,person,0.425557
76,Tuesday,person,0.524979
76,Tuesday,person,0.598688
76,Tuesday,person,0.524979
76,Tuesday,person,0.645656
76,Tuesday,person,0.908877
76,Tuesday,person,0.768525
76,Tuesday,person,0.645656
77,Tuesday,person,0.574443
77,Tuesday,person,0.998641
77,Tuesday,person,0.549834
77,Tuesday,person,0.956893
77,Tuesday,person,0.768525
78,Tuesday,person,0.908877
78,Tuesday,person,0.574443
78,Tuesday,person,0.768525
78,Tuesday,person,0.832018
78,Tuesday,person,0.731059
78,Tuesday,person,0.450166
78,Tuesday,person,0.900249
79,Tuesday,person,0.5
79,Tuesday,person,0.549834
79,Tuesday,person,0.973403
79,Tuesday,person,0.524979
79,Tuesday,person,0.28905
79,Tuesday,person,0.331812
79,Tuesday,person,0.549834
80,Tuesday,person,0.377541
80,Tuesday,person,0.310026
80,Tuesday,person,0.450166
80,Tuesday,person,0.598688
81,Tuesday,person,0.998499
81,Tuesday,person,0.331812
83,Tuesday,person,0.354344
85,Tuesday,person,0.908877
86,Tuesday,person,0.377541
86,Tuesday,person,0.425557
86,Tuesday,person,0.5
86,Tuesday,person,0.689974
86,Tuesday,person,0.354344
86,Tuesday,person,0.268941
87,Tuesday,person,0.916827
88,Tuesday,person,0.802184
89,Tuesday,person,0.858149
90,Tuesday,person,0.450166
24,Wednesday,person,0.268941
27,Wednesday,person,0.998993
27,Wednesday,person,0.425557
27,Wednesday,person,0.989013
27,Wednesday,person,0.998771
27,Wednesday,person,0.930862
27,Wednesday,person,0.450166
27,Wednesday,person,0.999176
28,Wednesday,person,0.985226
28,Wednesday,person,0.924142
28,Wednesday,person,0.354344
28,Wednesday,person,0.924142
28,Wednesday,person,0.75026
28,Wednesday,person,0.710949
28,Wednesday,person,0.768525
28,Wednesday,person,0.524979
28,Wednesday,person,0.425557
28,Wednesday,person,0.598688
28,Wednesday,person,0.869892
28,Wednesday,person,0.331812
28,Wednesday,person,0.845535
28,Wednesday,person,0.28905
28,Wednesday,person,0.310026
29,Wednesday,person,0.268941
